Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Falcon1024,pequeño,41.5832,2.7381,0.1086,44.4299
2,Falcon1024,pequeño,30.7199,2.4502,0.1127,33.2828
3,Falcon1024,pequeño,50.1760,2.5319,0.1096,52.8175
4,Falcon1024,pequeño,30.6077,2.5134,0.1140,33.2351
5,Falcon1024,pequeño,21.9878,2.5106,0.1088,24.6072
6,Falcon1024,pequeño,22.5559,2.4980,0.1080,25.1619
7,Falcon1024,pequeño,23.2923,2.5898,0.1087,25.9908
8,Falcon1024,pequeño,52.8181,2.6203,0.1100,55.5484
9,Falcon1024,pequeño,29.0138,2.6586,0.1176,31.7900
10,Falcon1024,pequeño,22.2335,2.4856,0.1100,24.8291
11,Falcon1024,pequeño,21.7576,2.4981,0.1097,24.3654
12,Falcon1024,pequeño,29.8311,2.5250,0.1094,32.4655
13,Falcon1024,pequeño,49.3487,2.4890,0.1088,51.9465
14,Falcon1024,pequeño,21.7683,2.5014,0.1132,24.3829
15,Falcon1024,pequeño,30.4473,2.4897,0.1114,33.0484
16,Falcon1024,pequeño,27.2721,2.5264,0.1093,29.9078
17,Falcon1024,pequeño,23.8309,2.4859,0.1102,26.4270
18,Falcon1024,pequeño,21.9295,2.4803,0.1087,24.5185
19,Falcon1024,pequeño,25.3656,2.5624,0.1115,28.0395
20,Falcon1024,pequeño,31.2818,2.4356,0.1087,33.8261
21,Falcon1024,pequeño,23.6932,2.5005,0.1099,26.3036
22,Falcon1024,pequeño,39.1006,2.8867,0.1148,42.1021
23,Falcon1024,pequeño,26.8877,2.4618,0.1088,29.4583
24,Falcon1024,pequeño,23.9562,2.5645,0.1093,26.6300
25,Falcon1024,pequeño,27.4154,2.8456,0.1086,30.3696
26,Falcon1024,pequeño,25.4372,2.6266,0.1157,28.1795
27,Falcon1024,pequeño,31.5789,2.4192,0.1788,34.1769
28,Falcon1024,pequeño,41.6071,2.9921,0.1131,44.7123
29,Falcon1024,pequeño,22.7451,2.8154,0.1091,25.6696
30,Falcon1024,pequeño,34.3669,2.5921,0.1099,37.0689
31,Falcon1024,pequeño,23.2420,2.4792,0.1092,25.8304
32,Falcon1024,pequeño,25.6396,2.5577,0.1146,28.3119
33,Falcon1024,pequeño,33.3305,2.4805,0.1087,35.9197
